ma_order,bb_upper_break,vol_ma_break,vol_gt_ma5,vol_gt_ma20,count,avg_pct_change_next_close,avg_pct_change_next2_close
120>5>60>20,False,True,False,False,35,1.87,4.07
120>5>60>20,False,False,False,False,35,1.36,1.38
60>20>5>120,False,False,False,False,46,1.17,1.09
20>60>120>5,False,False,False,False,84,0.91,1.62
20>60>5>120,False,False,False,False,96,0.82,1.36
60>20>120>5,False,False,False,False,43,0.76,0.95
5>20>120>60,False,True,False,False,52,0.72,0.39
120>60>5>20,False,True,False,True,39,0.6,0.65
60>120>20>5,False,True,False,False,34,0.6,0.91
20>5>60>120,False,True,False,False,47,0.53,0.88
5>20>120>60,False,False,False,False,92,0.49,0.81
5>60>20>120,False,False,False,False,57,0.34,0.56
120>60>20>5,False,False,True,False,193,0.29,0.31
120>60>20>5,False,True,False,True,61,0.28,0.41
5>20>60>120,False,False,True,False,119,0.2,0.13
20>5>60>120,False,True,True,True,37,0.15,-0.14
120>60>20>5,False,True,False,False,181,0.13,0.32
120>60>20>5,False,False,False,False,462,0.11,0.32
120>60>5>20,False,False,False,False,144,0.11,0.08
5>20>60>120,False,True,False,False,244,0.1,0.12
60>120>20>5,False,False,True,True,41,0.06,0.09
20>5>60>120,False,False,True,True,53,0.05,0.16
120>60>20>5,False,False,True,True,114,0.05,0.04
5>20>60>120,True,True,True,True,64,0.04,-0.68
5>20>120>60,False,False,True,False,33,0.03,-0.19
120>60>5>20,False,False,True,False,51,0.01,0.35
20>5>60>120,False,False,False,False,223,-0.1,-0.2
5>20>60>120,False,True,True,True,149,-0.17,-0.27
120>60>5>20,False,True,False,False,71,-0.19,-0.17
120>60>5>20,False,True,True,True,53,-0.2,1.16
60>120>20>5,False,False,True,False,43,-0.21,0.37
120>20>5>60,False,False,False,False,39,-0.24,0.44
5>20>60>120,False,False,False,False,352,-0.25,-0.23
5>20>60>120,False,False,True,True,87,-0.28,-0.42
60>120>20>5,False,False,False,False,119,-0.28,-0.51
120>60>20>5,False,True,True,True,148,-0.33,-0.35
120>20>60>5,False,False,False,False,48,-0.38,-0.77
20>5>60>120,False,False,True,False,71,-0.44,-0.77
20>5>120>60,False,False,False,False,39,-0.46,-0.76
5>20>60>120,False,True,False,True,107,-0.58,-0.9
20>60>5>120,False,False,True,False,32,-0.69,0.2
20>60>120>5,False,False,True,False,34,-0.96,-1.37
5>20>120>60,False,True,True,True,37,-2.29,-2.0
